JNose-AR,Manual-AR,JNose-CTL,Manual-CTL,JNose-CI,Manual-CI,JNose-DA,Manual-DA,JNose-MNT,Manual-MNT,JNose-VT,Manual-VT,JNose-ST,Manual-ST,JNose-EmT,Manual-EmT,JNose-UT,Manual-UT,JNose-PS,Manual-PS,JNose-ECT,Manual-ECT,JNose-SE,Manual-SE,JNose-RA,Manual-RA,JNose-RO,Manual-RO,JNose-GF,Manual-GF,JNose-MG,Manual-MG,JNose-LT,Manual-LT,JNose-ET,Manual-ET
77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-43,42-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
